MesAno,Empresa,Valor,Segmento,mes
202301,Empresa 7337,43762.33240000001,Tiny,2023-01
202301,Empresa 7338,1852187.9534,Tiny,2023-01
202301,Empresa 3088,2601648.0,Não Tiny,2023-01
202301,Empresa 7339,1214049.0,Não Tiny,2023-01
202301,Empresa 1293,12059.5,Não Tiny,2023-01
202301,Empresa 7340,135655.58000000002,Não Tiny,2023-01
202301,Empresa 7341,517802.0,Não Tiny,2023-01
202301,Empresa 7342,630027.8138,Não Tiny,2023-01
202301,Empresa 7343,566460.08,Não Tiny,2023-01
202301,Empresa 7344,94546.569,Não Tiny,2023-01
202301,Empresa 7345,999217.2222,Não Tiny,2023-01
202301,Empresa 7346,778494.3920000001,Não Tiny,2023-01
202301,Empresa 7347,11578.7576,Não Tiny,2023-01
202301,Empresa 7348,7138908.744200001,Não Tiny,2023-01
202302,Empresa 7349,3803376.4452,Não Tiny,2023-02
202302,Empresa 7350,310420.43,Não Tiny,2023-02
202302,Empresa 7336,1527791.8,Não Tiny,2023-02
202302,Empresa 7351,212591.63,Não Tiny,2023-02
202302,Empresa 7352,293669.74,Não Tiny,2023-02
202302,Empresa 7337,1856560.4522,Não Tiny,2023-02
