bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-08,Empresa 11958,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10063,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 12173,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 7377,100.0,202301,2023-08,2023-01,já cadastrado,True,False
2023-08,Empresa 23969,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 20497,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23280,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 2526,100.0,202108,2023-08,2021-08,já cadastrado,True,False
2023-08,Empresa 15269,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 22791,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 2267,0.0,202002,2023-08,2020-02,já cadastrado,True,False
2023-08,Empresa 17046,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 24635,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 13414,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 1438,97.81,202010,2023-08,2020-10,já cadastrado,True,False
2023-08,Empresa 4108,0.0,202308,2023-08,2023-08,já cadastrado,True,False
2023-08,Empresa 5407,0.0,202102,2023-08,2021-02,já cadastrado,True,False
2023-08,Empresa 18620,0.0,202209,2023-08,2022-09,já cadastrado,True,False
