Empresa,Valor,share,share_acumulado,pct_fornecedores
Empresa 5233,4553591.0872,8.846266700613951e-05,0.8893256924384578,0.19168410041841005
Empresa 5356,4551349.017,8.841911028229039e-05,0.8894141115487402,0.19181485355648537
Empresa 6543,4549086.192,8.83751503547003e-05,0.8895024866990948,0.19194560669456068
Empresa 6394,4546770.1628,8.83301568284981e-05,0.8895908168559233,0.192076359832636
Empresa 4564,4540890.1998,8.821592671891719e-05,0.8896790327826423,0.1922071129707113
Empresa 673,4534280.1698,8.808751358923714e-05,0.8897671202962315,0.19233786610878661
Empresa 4565,4527265.7594,8.79512445568236e-05,0.8898550715407884,0.19246861924686193
Empresa 272,4526747.1564,8.794116965031161e-05,0.8899430127104386,0.19259937238493724
Empresa 363,4524024.5218,8.788827699627507e-05,0.8900309009874349,0.19273012552301255
Empresa 3163,4521363.671,8.783658461683962e-05,0.8901187375720517,0.19286087866108786
Empresa 2142,4518997.837400001,8.779062353997943e-05,0.8902065281955918,0.19299163179916318
Empresa 1033,4514797.5536,8.770902457775044e-05,0.8902942372201695,0.1931223849372385
Empresa 3116,4505537.5664,8.75291306987288e-05,0.8903817663508683,0.1932531380753138
Empresa 5602,4504658.8516,8.751205989609035e-05,0.8904692784107644,0.19338389121338911
Empresa 5514,4496844.4914,8.736025022960936e-05,0.890556638660994,0.19351464435146443
Empresa 6500,4496483.8456,8.73532439594587e-05,0.8906439919049535,0.19364539748953974
Empresa 6942,4485140.137,8.713286960056704e-05,0.8907311247745541,0.19377615062761505
Empresa 5880,4483330.3042,8.709770995771435e-05,0.8908182224845118,0.19390690376569036
Empresa 3506,4481107.458000001,8.70545266987368e-05,0.8909052770112106,0.1940376569037657
Empresa 946,4477760.9156,8.698951338061402e-05,0.8909922665245912,0.19416841004184102
Empresa 3677,4469367.6282,8.682645688868612e-05,0.8910790929814799,0.19429916317991633
Empresa 3521,4467155.408600001,8.678348007279034e-05,0.8911658764615527,0.19442991631799164
Empresa 637,4466306.2596,8.676698364529232e-05,0.891252643445198,0.19456066945606695
Empresa 3175,4462102.131,8.668530999008902e-05,0.8913393287551881,0.19469142259414227
Empresa 5258,4461659.1958,8.667670508280759e-05,0.8914260054602708,0.19482217573221758
Empresa 6588,4441172.09,8.627870184018016e-05,0.891512284162111,0.1949529288702929
Empresa 2977,4441100.1602,8.627730445911906e-05,0.8915985614665701,0.1950836820083682
Empresa 969,4440042.680000001,8.625676077897592e-05,0.8916848182273491,0.19521443514644352
Empresa 2318,4428979.9088,8.604184419422116e-05,0.8917708600715434,0.19534518828451883
Empresa 6743,4417077.4582,8.581061514799772e-05,0.8918566706866914,0.19547594142259414
Empresa 7543,4415066.7346,8.57715527972372e-05,0.8919424422394886,0.19560669456066945
Empresa 6097,4413616.0346,8.574337003146656e-05,0.89202818560952,0.19573744769874477
Empresa 2732,4413169.8064,8.573470115103583e-05,0.892113920310671,0.19586820083682008
Empresa 4367,4409594.9078,8.566525155436005e-05,0.8921995855622255,0.1959989539748954
Empresa 21,4408170.0178,8.563757019975955e-05,0.8922852231324252,0.1961297071129707
Empresa 1790,4406433.6634,8.560383802263817e-05,0.8923708269704478,0.19626046025104602
Empresa 2281,4401021.288600001,8.549869175445641e-05,0.8924563256622022,0.19639121338912133
Empresa 5620,4392291.2786,8.532909374866243e-05,0.8925416547559509,0.19652196652719664
Empresa 7428,4389259.6182,8.527019764681554e-05,0.8926269249535977,0.19665271966527198
Empresa 5554,4384431.1546,8.517639502830665e-05,0.892712101348626,0.1967834728033473
Empresa 5603,4384357.6228,8.517496652517293e-05,0.8927972763151512,0.1969142259414226
Empresa 2750,4382426.643200001,8.513745336202779e-05,0.8928824137685132,0.19704497907949792
Empresa 1087,4382246.7564,8.513395869907222e-05,0.8929675477272122,0.19717573221757323
Empresa 472,4369341.9166,8.488325622620328e-05,0.8930524309834384,0.19730648535564854
Empresa 30,4348473.2322,8.447784005167617e-05,0.8931369088234902,0.19743723849372385
Empresa 2708,4342299.6404,8.435790561198297e-05,0.8932212667291022,0.19756799163179917
Empresa 2064,4334692.8638,8.421012867451325e-05,0.8933054768577767,0.19769874476987448
Empresa 1019,4330243.024,8.41236815849701e-05,0.8933896005393617,0.1978294979079498
Empresa 6633,4318654.0492,8.389854243675876e-05,0.8934734990817984,0.1979602510460251
Empresa 4660,4315276.6238,8.383292915423584e-05,0.8935573320109527,0.19809100418410042
Empresa 4596,4313937.6544,8.380691698013076e-05,0.8936411389279328,0.19822175732217573
Empresa 4188,4312483.6792,8.377867058701163e-05,0.8937249175985199,0.19835251046025104
Empresa 2419,4308673.0374,8.37046412044479e-05,0.8938086222397243,0.19848326359832635
Empresa 2320,4306696.7568,8.366624797824893e-05,0.8938922884877026,0.19861401673640167
Empresa 3013,4304533.594,8.362422418937725e-05,0.893975912711892,0.19874476987447698
Empresa 1733,4303555.3594,8.360522001442688e-05,0.8940595179319064,0.1988755230125523
Empresa 2374,4302073.812,8.357643797585769e-05,0.8941430943698823,0.1990062761506276
Empresa 2444,4297596.6314,8.3489459736275e-05,0.8942265838296185,0.19913702928870292
Empresa 3076,4290451.7826000005,8.335065667554777e-05,0.894309934486294,0.19926778242677826
Empresa 2931,4288687.6068,8.331638401176503e-05,0.8943932508703057,0.19939853556485357
Empresa 4389,4280226.359,8.315200725235598e-05,0.8944764028775581,0.19952928870292888
Empresa 4491,4278734.398599999,8.312302292031469e-05,0.8945595259004785,0.1996600418410042
Empresa 5219,4273514.958000001,8.302162478708005e-05,0.8946425475252656,0.1997907949790795
Empresa 6527,4270081.3202,8.295491946560861e-05,0.8947255024447313,0.19992154811715482
Empresa 7104,4269259.1738,8.293894761793482e-05,0.8948084413923492,0.20005230125523013
Empresa 4786,4249125.1844,8.254780437171669e-05,0.8948909891967208,0.20018305439330544
